location,type,long,lat
FKNMS1,Sanctuary,-80.34999,25.32777
FKNMS1,Sanctuary,-80.35012,25.32783
FKNMS1,Sanctuary,-80.35019,25.32783
FKNMS1,Sanctuary,-80.35035,25.32778
FKNMS1,Sanctuary,-80.35044,25.32779
FKNMS1,Sanctuary,-80.35054,25.32779
FKNMS1,Sanctuary,-80.3508,25.32766
FKNMS1,Sanctuary,-80.35093,25.32773
FKNMS1,Sanctuary,-80.35102,25.32774
FKNMS1,Sanctuary,-80.35105,25.32767
FKNMS1,Sanctuary,-80.35102,25.32756
FKNMS1,Sanctuary,-80.35105,25.32751
FKNMS1,Sanctuary,-80.35112,25.3275
FKNMS1,Sanctuary,-80.35136,25.32762
FKNMS1,Sanctuary,-80.35151,25.32769
FKNMS1,Sanctuary,-80.35161,25.32768
FKNMS1,Sanctuary,-80.35168,25.32771
FKNMS1,Sanctuary,-80.35176,25.32768
FKNMS1,Sanctuary,-80.35195,25.32767
FKNMS1,Sanctuary,-80.35202,25.32765
FKNMS1,Sanctuary,-80.35205,25.32758
FKNMS1,Sanctuary,-80.35203,25.32754
FKNMS1,Sanctuary,-80.3519,25.32748
FKNMS1,Sanctuary,-80.35174,25.32745
FKNMS1,Sanctuary,-80.3516,25.32749
FKNMS1,Sanctuary,-80.35153,25.32746
FKNMS1,Sanctuary,-80.3515,25.32744
FKNMS1,Sanctuary,-80.35153,25.32738
FKNMS1,Sanctuary,-80.35158,25.32737
FKNMS1,Sanctuary,-80.35189,25.32736
FKNMS1,Sanctuary,-80.35228,25.3274
FKNMS1,Sanctuary,-80.35273,25.32738
FKNMS1,Sanctuary,-80.35285,25.32736
FKNMS1,Sanctuary,-80.35302,25.32732
FKNMS1,Sanctuary,-80.35314,25.32737
FKNMS1,Sanctuary,-80.35326,25.3275
FKNMS1,Sanctuary,-80.3534,25.32756
FKNMS1,Sanctuary,-80.35353,25.32758
FKNMS1,Sanctuary,-80.35369,25.32767
FKNMS1,Sanctuary,-80.35385,25.32769
FKNMS1,Sanctuary,-80.35402,25.32781
FKNMS1,Sanctuary,-80.35415,25.32777
FKNMS1,Sanctuary,-80.35422,25.32777
FKNMS1,Sanctuary,-80.35435,25.32782
FKNMS1,Sanctuary,-80.35485,25.32775
FKNMS1,Sanctuary,-80.35496,25.32762
FKNMS1,Sanctuary,-80.35499,25.32762
FKNMS1,Sanctuary,-80.35502,25.32767
FKNMS1,Sanctuary,-80.35503,25.32779
FKNMS1,Sanctuary,-80.35506,25.32787
FKNMS1,Sanctuary,-80.35511,25.32791
FKNMS1,Sanctuary,-80.35517,25.32786
FKNMS1,Sanctuary,-80.35517,25.32774
FKNMS1,Sanctuary,-80.35519,25.3277
FKNMS1,Sanctuary,-80.35531,25.32777
FKNMS1,Sanctuary,-80.35538,25.32778
FKNMS1,Sanctuary,-80.35541,25.32773
FKNMS1,Sanctuary,-80.35543,25.32766
FKNMS1,Sanctuary,-80.35537,25.32763
FKNMS1,Sanctuary,-80.35527,25.32761
FKNMS1,Sanctuary,-80.35525,25.3276
FKNMS1,Sanctuary,-80.35527,25.32754
FKNMS1,Sanctuary,-80.3553,25.3275
FKNMS1,Sanctuary,-80.35541,25.32748
FKNMS1,Sanctuary,-80.35547,25.32742
FKNMS1,Sanctuary,-80.35556,25.32744
FKNMS1,Sanctuary,-80.3558,25.32754
FKNMS1,Sanctuary,-80.35583,25.32752
FKNMS1,Sanctuary,-80.35585,25.32744
FKNMS1,Sanctuary,-80.35588,25.32736
FKNMS1,Sanctuary,-80.35593,25.32732
FKNMS1,Sanctuary,-80.35618,25.3273
FKNMS1,Sanctuary,-80.3563,25.32728
FKNMS1,Sanctuary,-80.35634,25.32719
FKNMS1,Sanctuary,-80.35633,25.327
FKNMS1,Sanctuary,-80.35636,25.32692
FKNMS1,Sanctuary,-80.35643,25.32692
FKNMS1,Sanctuary,-80.35646,25.32689
FKNMS1,Sanctuary,-80.35646,25.32684
FKNMS1,Sanctuary,-80.35637,25.32678
FKNMS1,Sanctuary,-80.35639,25.32675
FKNMS1,Sanctuary,-80.35644,25.32672
FKNMS1,Sanctuary,-80.3565,25.3266
FKNMS1,Sanctuary,-80.35659,25.3265
FKNMS1,Sanctuary,-80.35668,25.32648
FKNMS1,Sanctuary,-80.35673,25.32641
FKNMS1,Sanctuary,-80.35684,25.32628
FKNMS1,Sanctuary,-80.3571,25.32611
FKNMS1,Sanctuary,-80.35721,25.32606
FKNMS1,Sanctuary,-80.35727,25.326
FKNMS1,Sanctuary,-80.35742,25.32587
FKNMS1,Sanctuary,-80.35752,25.32583
FKNMS1,Sanctuary,-80.35757,25.32575
FKNMS1,Sanctuary,-80.35766,25.32577
FKNMS1,Sanctuary,-80.35778,25.32573
FKNMS1,Sanctuary,-80.35821,25.32562
FKNMS1,Sanctuary,-80.35829,25.32563
FKNMS1,Sanctuary,-80.35832,25.32564
FKNMS1,Sanctuary,-80.35827,25.32576
FKNMS1,Sanctuary,-80.35831,25.3258
FKNMS1,Sanctuary,-80.35843,25.32584
FKNMS1,Sanctuary,-80.35852,25.32587
FKNMS1,Sanctuary,-80.35857,25.32592
FKNMS1,Sanctuary,-80.35855,25.32601
FKNMS1,Sanctuary,-80.35856,25.32612
FKNMS1,Sanctuary,-80.35861,25.32617
FKNMS1,Sanctuary,-80.35866,25.32616
FKNMS1,Sanctuary,-80.35879,25.32609
FKNMS1,Sanctuary,-80.35883,25.32605
FKNMS1,Sanctuary,-80.35884,25.32602
FKNMS1,Sanctuary,-80.35884,25.32593
FKNMS1,Sanctuary,-80.35876,25.32581
FKNMS1,Sanctuary,-80.35875,25.3256
FKNMS1,Sanctuary,-80.35876,25.32555
FKNMS1,Sanctuary,-80.35879,25.32547
